State,Unit Code,Unit Name,Unit Type, Visitors ,Year
MA,FRLA,Frederick Law Olmsted National Historic Site,National Historic Site," 8,935 ",2016
AL,TUIN,Tuskegee Institute National Historic Site,National Historic Site," 8,452 ",2016
TX,ALFL,Alibates Flint Quarries National Monument,National Monument," 8,153 ",2016
AZ,FOBO,Fort Bowie National Historic Site,National Historic Site," 8,013 ",2016
DC,MABE,Mary McLeod Bethune Council House National Historic Site,National Historic Site," 7,149 ",2016
CO,SAND,Sand Creek Massacre National Historic Site,National Historic Site," 6,847 ",2016
NY,THRB,Theodore Roosevelt Birthplace National Historic Site,National Historic Site," 6,582 ",2016
CA,EUON,Eugene O'Neill National Historic Site,National Historic Site," 4,287 ",2016
KS,NICO,Nicodemus National Historic Site,National Historic Site," 3,552 ",2016
PA,THKO,Thaddeus Kosciuszko National Memorial,National Memorial," 2,794 ",2016
DC,BEPA,Belmont-Paul Women's Equality National Monument,National Monument," 2,704 ",2016
AK,BELA,Bering Land Bridge National Preserve,National Preserve," 2,642 ",2016
CA,POCH,Port Chicago Naval Magazine National Memorial,National Memorial," 1,942 ",2016
AK,YUCH,Yukon-Charley Rivers National Preserve,National Preserve," 1,146 ",2016
TX,RIGR,Rio Grande Wild and Scenic River,Wild and Scenic River, 463 ,2016
AK,ANIA,Aniakchak National Monument,National Monument, 100 ,2016
AK,ANIA,Aniakchak National Preserve,National Preserve, 100 ,2016
MD,CLBA,Clara Barton National Historic Site,National Historic Site, -   ,2016
DC,PAAV,Pennsylvania Avenue National Historic Site,National Historic Site, -   ,2016
NC,BLRI,Blue Ridge Parkway,Parkway," 15,054,603 ",2015
CA,GOGA,Golden Gate National Recreation Area,National Recreation Area," 14,888,537 ",2015
NC,GRSM,Great Smoky Mountains National Park,National Park," 10,712,674 ",2015
DC,LINC,Lincoln Memorial,National Memorial," 7,941,771 ",2015
NV,LAKE,Lake Mead National Recreation Area,National Recreation Area," 7,298,465 ",2015
VA,GWMP,George Washington Memorial Parkway,National Parkway," 7,286,463 ",2015
NY,GATE,Gateway National Recreation Area,National Recreation Area," 6,392,565 ",2015
MS,NATR,Natchez Trace Parkway,Parkway," 5,785,812 ",2015
DC,VIVE,Vietnam Veterans Memorial,National Memorial," 5,597,077 ",2015
AZ,GRCA,Grand Canyon National Park,National Park," 5,520,736 ",2015
DC,WWII,World War II Memorial,National Memorial," 5,068,224 ",2015
DC,CHOH,Chesapeake and Ohio Canal National Historical Park,National Historical Park," 4,798,312 ",2015
NY,CACL,Castle Clinton National Monument,National Monument," 4,597,029 ",2015
MA,CACO,Cape Cod National Seashore,National Seashore," 4,503,220 ",2015
PA,INDE,Independence National Historical Park,National Historical Park," 4,311,582 ",2015
NY,STLI,Statue Of Liberty National Monument,National Monument," 4,279,020 ",2015
CA,SAFR,San Francisco Maritime National Historical Park,National Historical Park," 4,173,014 ",2015
CO,ROMO,Rocky Mountain National Park,National Park," 4,155,916 ",2015
CA,YOSE,Yosemite National Park,National Park," 4,150,217 ",2015
WY,YELL,Yellowstone National Park,National Park," 4,097,710 ",2015
DC,KOWA,Korean War Veterans Memorial,National Memorial," 4,077,835 ",2015
FL,GUIS,Gulf Islands National Seashore,National Seashore," 3,976,883 ",2015
PA,DEWA,Delaware Water Gap National Recreation Area,National Recreation Area," 3,735,134 ",2015
UT,ZION,Zion National Park,National Park," 3,648,846 ",2015
DC,MLKM,"Martin Luther King, Jr., Memorial",Other Designation," 3,530,401 ",2015
VA,COLO,Colonial National Historical Park,National Historical Park," 3,343,909 ",2015
DC,FRDE,Franklin Delano Roosevelt Memorial,National Memorial," 3,290,080 ",2015
WA,OLYM,Olympic National Park,National Park," 3,263,761 ",2015
GA,CHAT,Chattahoochee River National Recreation Area,National Recreation Area," 3,173,204 ",2015
WY,GRTE,Grand Teton National Park,National Park," 3,149,921 ",2015
DC,JEFM,Thomas Jefferson Memorial,National Memorial," 3,102,442 ",2015
ME,ACAD,Acadia National Park,National Park," 2,811,184 ",2015
CA,PORE,Point Reyes National Seashore,National Seashore," 2,501,106 ",2015
UT,GLCA,Glen Canyon National Recreation Area,National Recreation Area," 2,495,093 ",2015
DC,ROCR,Rock Creek Park,Park," 2,443,772 ",2015
SD,MORU,Mount Rushmore National Memorial,National Memorial," 2,434,297 ",2015
MT,GLAC,Glacier National Park,National Park," 2,366,056 ",2015
OH,CUVA,Cuyahoga Valley National Park,National Park," 2,284,612 ",2015
MD,ASIS,Assateague Island National Seashore,National Seashore," 2,275,606 ",2015
NC,CAHA,Cape Hatteras National Seashore,National Seashore," 2,274,635 ",2015
MA,BOST,Boston National Historical Park,National Historical Park," 2,262,841 ",2015
GA,KEMO,Kennesaw Mountain National Battlefield Park,National Battlefield Park," 2,174,870 ",2015
PA,VAFO,Valley Forge National Historical Park,National Historical Park," 2,143,965 ",2015
CA,JOTR,Joshua Tree National Park,National Park," 2,025,756 ",2015
HI,HAVO,Hawai'i Volcanoes National Park,National Park," 1,832,660 ",2015
UT,BRCA,Bryce Canyon National Park,National Park," 1,745,804 ",2015
MO,JEFF,Jefferson National Expansion Memorial,National Memorial," 1,698,656 ",2015
FL,CANA,Canaveral National Seashore,National Seashore," 1,689,754 ",2015
IN,INDU,Indiana Dunes National Lakeshore,National Lakeshore," 1,640,195 ",2015
CA,FOPO,Fort Point National Historic Site,National Historic Site," 1,610,466 ",2015
HI,VALR,World War II Valor in the Pacific National Monument,National Monument," 1,574,156 ",2015
MI,SLBE,Sleeping Bear Dunes National Lakeshore,National Lakeshore," 1,535,633 ",2015
PR,SAJU,San Juan National Historic Site,National Historic Site," 1,532,818 ",2015
AR,BUFF,Buffalo National River,National River," 1,463,304 ",2015
WY,JODR,"John D. Rockefeller, Jr., Memorial Parkway",National Parkway," 1,430,337 ",2015
AR,HOSP,Hot Springs National Park,National Park," 1,418,162 ",2015
UT,ARCH,Arches National Park,National Park," 1,399,247 ",2015
TX,SAAN,San Antonio Missions National Historical Park,National Historical Park," 1,322,154 ",2015
VA,SHEN,Shenandoah National Park,National Park," 1,321,873 ",2015
MO,OZAR,Ozark National Scenic Riverways,National Scenic Riverway," 1,277,941 ",2015
OK,CHIC,Chickasaw National Recreation Area,National Recreation Area," 1,254,105 ",2015
TX,AMIS,Amistad National Recreation Area,National Recreation Area," 1,250,051 ",2015
FL,TIMU,Timucuan Ecological and Historic Preserve,Ecological and Historic Preserve," 1,239,423 ",2015
WA,MORA,Mount Rainier National Park,National Park," 1,237,231 ",2015
HI,HALE,Haleakala National Park,National Park," 1,216,772 ",2015
VA,NERI,New River Gorge National River,National River," 1,178,753 ",2015
WA,LARO,Lake Roosevelt National Recreation Area,National Recreation Area," 1,170,843 ",2015
CA,DEVA,Death Valley National Park,National Park," 1,154,843 ",2015
FL,BICY,Big Cypress National Preserve,National Preserve," 1,112,290 ",2015
CA,MUWO,Muir Woods National Monument,National Monument," 1,099,923 ",2015
CA,SEQU,Sequoia National Park,National Park," 1,097,464 ",2015
PA,GETT,Gettysburg National Military Park,National Military Park," 1,080,185 ",2015
FL,EVER,Everglades National Park,National Park," 1,077,427 ",2015
GA,CHCH,Chickamauga and Chattanooga National Military Park,National Military Park," 1,002,373 ",2015
SD,BADL,Badlands National Park,National Park," 989,354 ",2015
CA,CABR,Cabrillo National Monument,National Monument," 981,825 ",2015
MA,MIMA,Minute Man National Historical Park,National Historical Park," 964,330 ",2015
CO,CURE,Curecanti National Recreation Area,National Recreation Area," 944,742 ",2015
UT,CARE,Capitol Reef National Park,National Park," 941,029 ",2015
AK,KLGO,Klondike Gold Rush National Historical Park,National Historical Park," 919,661 ",2015
VA,FRSP,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,National Military Park," 891,917 ",2015
CA,WHIS,Whiskeytown-Shasta-Trinity National Recreation Area,National Recreation Area," 843,845 ",2015
SC,FOSU,Fort Sumter National Monument,National Monument," 840,711 ",2015
KY,CUGA,Cumberland Gap National Historical Park,National Historical Park," 840,601 ",2015
TX,LAMR,Lake Meredith National Recreation Area,National Recreation Area," 831,374 ",2015
FL,CASA,Castillo de San Marcos National Monument,National Monument," 819,154 ",2015
WA,FOVA,Fort Vancouver National Historic Site,National Historic Site," 818,672 ",2015
AZ,CACH,Canyon de Chelly National Monument,National Monument," 813,686 ",2015
CA,SAMO,Santa Monica Mountains National Recreation Area,National Recreation Area," 797,126 ",2015
UT,CEBR,Cedar Breaks National Monument,National Monument," 793,601 ",2015
AZ,PEFO,Petrified Forest National Park,National Park," 793,225 ",2015
WA,ROLA,Ross Lake National Recreation Area,National Recreation Area," 772,579 ",2015
AZ,SAGU,Saguaro National Park,National Park," 753,446 ",2015
MI,PIRO,Pictured Rocks National Lakeshore,National Lakeshore," 723,178 ",2015
DC,FOTH,Ford's Theatre National Historic Site,National Historic Site," 681,537 ",2015
GA,MALU,"Martin Luther King, Jr., National Historic Site",National Historic Site," 673,728 ",2015
TN,BISO,Big South Fork National River and Recreation Area,National River and Recreation Area," 643,135 ",2015
UT,CANY,Canyonlands National Park,National Park," 634,607 ",2015
WI,SACN,Saint Croix National Scenic Riverway,National Scenic Riverway," 623,122 ",2015
FL,FOMA,Fort Matanzas National Monument,National Monument," 622,175 ",2015
MD,FOMC,Fort McHenry National Monument and Historic Shrine,National Monument," 617,890 ",2015
OR,CRLA,Crater Lake National Park,National Park," 614,712 ",2015
SD,WICA,Wind Cave National Park,National Park," 612,198 ",2015
CA,MOJA,Mojave National Preserve,National Preserve," 589,155 ",2015
CO,COLM,Colorado National Monument,National Monument," 588,006 ",2015
TX,PAIS,Padre Island National Seashore,National Seashore," 582,839 ",2015
ND,THRO,Theodore Roosevelt National Park,National Park," 580,033 ",2015
KY,MACA,Mammoth Cave National Park,National Park," 566,895 ",2015
AK,DENA,Denali National Park,National Park," 560,757 ",2015
AK,DENA,Denali National Preserve,National Park," 560,757 ",2015
AK,GLBA,Glacier Bay National Park,National Park," 551,353 ",2015
AK,GLBA,Glacier Bay National Preserve,National Preserve," 551,353 ",2015
CO,MEVE,Mesa Verde National Park,National Park," 547,325 ",2015
LA,VICK,Vicksburg National Military Park,National Military Park," 532,444 ",2015
VA,ARHO,"Arlington House, The Robert E. Lee Memorial",National Memorial," 532,050 ",2015
MA,LOWE,Lowell National Historical Park,National Historical Park," 531,055 ",2015
CA,REDW,Redwood National Park,National Park," 527,143 ",2015
DC,WHHO,White House,Other Designation," 526,263 ",2015
FL,BISC,Biscayne National Park,National Park," 508,164 ",2015
VA,MANA,Manassas National Battlefield Park,National Battlefield Park," 502,045 ",2015
NM,WHSA,White Sands National Monument,National Monument," 497,506 ",2015
DC,WAMO,Washington Monument,National Memorial," 493,550 ",2015
WY,DETO,Devils Tower National Monument,National Monument," 478,833 ",2015
CA,KICA,Kings Canyon National Park,National Park," 468,106 ",2015
CA,LAVO,Lassen Volcanic National Park,National Park," 468,092 ",2015
NM,CAVE,Carlsbad Caverns National Park,National Park," 445,720 ",2015
NY,FIIS,Fire Island National Seashore,National Seashore," 441,899 ",2015
NY,GOIS,Governors Island National Monument,National Monument," 438,613 ",2015
VI,VIIS,Virgin Islands National Park,National Park," 438,372 ",2015
HI,PUHO,Pu'uhonua o Honaunau National Historical Park,National Historical Park," 437,286 ",2015
NC,WRBR,Wright Brothers National Memorial,National Memorial," 437,184 ",2015
NY,VAMA,Vanderbilt Mansion National Historic Site,National Historic Site," 431,961 ",2015
AZ,MOCA,Montezuma Castle National Monument,National Monument," 416,635 ",2015
VA,APCO,Appomattox Court House National Historical Park,National Historical Park," 412,640 ",2015
MA,BOAF,Boston African American National Historic Site,National Historic Site," 412,377 ",2015
VA,WOTR,Wolf Trap National Park for the Performing Arts,National Park," 407,351 ",2015
LA,JELA,Jean Lafitte National Historical Park and Preserve,National Historical Park and Preserve," 405,618 ",2015
NC,CALO,Cape Lookout National Seashore,National Seashore," 400,413 ",2015
GA,FOPU,Fort Pulaski National Monument,National Monument," 382,945 ",2015
TX,BIBE,Big Bend National Park,National Park," 381,747 ",2015
MS,SHIL,Shiloh National Battlefield,National Battlefield," 356,535 ",2015
MD,ANTI,Antietam National Battlefield,National Battlefield," 347,180 ",2015
MD,FOWA,Fort Washington Park,Other Designation," 337,433 ",2015
PA,FLNI,Flight 93 National Memorial,National Memorial," 337,217 ",2015
CA,CHIS,Channel Islands National Park,National Park," 324,816 ",2015
GU,WAPA,War in the Pacific National Historical Park,War in the Pacific," 322,463 ",2015
MT,LIBI,Little Bighorn Battlefield National Monument,National Monument," 317,782 ",2015
VA,PRWI,Prince William Forest Park,Park," 312,109 ",2015
CO,GRSA,Great Sand Dunes National Park,National Park," 299,513 ",2015
CO,GRSA,Great Sand Dunes National Preserve,National Preserve," 299,513 ",2015
AK,KEFJ,Kenai Fjords National Park,National Park," 296,697 ",2015
FL,DESO,De Soto National Memorial,National Memorial," 293,647 ",2015
CO,DINO,Dinosaur National Monument,National Monument," 291,799 ",2015
NC,FORA,Fort Raleigh National Historic Site,National Historic Site," 289,885 ",2015
WV,HAFE,Harpers Ferry National Historical Park,National Historical Park," 282,893 ",2015
PA,FONE,Fort Necessity National Battlefield,National Battlefield," 280,705 ",2015
WA,LEWI,Lewis and Clark National Historical Park,National Historical Park," 270,410 ",2015
TN,STRI,Stones River National Battlefield,National Battlefield," 264,925 ",2015
MA,SAMA,Salem Maritime National Historic Site,National Historic Site," 264,780 ",2015
TN,FODO,Fort Donelson National Battlefield,National Battlefield," 260,744 ",2015
WA,SAJH,San Juan Island National Historical Park,National Historical Park," 258,668 ",2015
SC,KIMO,Kings Mountain National Military Park,National Military Park," 257,077 ",2015
AL,LIRI,Little River Canyon National Preserve,National Preserve," 248,135 ",2015
ID,CRMO,Craters of the Moon National Monument,National Monument," 246,826 ",2015
WY,BICA,Bighorn Canyon National Recreation Area,National Recreation Area," 245,173 ",2015
PA,UPDE,Upper Delaware Scenic and Recreational River,Scenic and Recreational River," 243,246 ",2015
MN,VOYA,Voyageurs National Park,National Park," 238,313 ",2015
IL,LIHO,Lincoln Home National Historic Site,National Historic Site," 233,299 ",2015
DC,LYBA,Lyndon Baines Johnson Memorial Grove on the Potomac,National Memorial," 232,882 ",2015
WI,APIS,Apostle Islands National Lakeshore,National Lakeshore," 232,662 ",2015
MD,CATO,Catoctin Mountain Park,Other Designation," 229,301 ",2015
WA,NEPE,Nez Perce National Historical Park,National Historical Park," 224,967 ",2015
FL,FOCA,Fort Caroline National Memorial,National Memorial," 224,418 ",2015
AZ,ORPI,Organ Pipe Cactus National Monument,National Monument," 222,723 ",2015
NC,GUCO,Guilford Courthouse National Military Park,National Military Park," 222,602 ",2015
NJ,MORR,Morristown National Historical Park,National Historical Park," 218,959 ",2015
TN,OBRI,Obed Wild and Scenic River,Wild and Scenic River," 214,441 ",2015
AZ,WUPA,Wupatki National Monument,National Monument," 212,828 ",2015
CO,BLCA,Black Canyon of the Gunnison National Park,National Park," 209,166 ",2015
SC,COWP,Cowpens National Battlefield,National Battlefield," 206,740 ",2015
